	education	like	username	work	edu_str	cities	countries	followers	following
434		['Staying up late', 'Cats', 'Dogs', 'Samoyeds', 'Tea', 'Coffee', 'Wine', 'Eating fish', 'Pescetarian', 'Korean food', 'Japanese food', 'Italian food', 'Motorcycling', 'Snowboarding', 'Introvert', 'Third Culture Kid', 'Documentaries', 'Philosophy', 'Movies', 'Acoustic music', 'Electronic music', 'Photography', 'Film making', 'Urbex', 'Progressive politics']	@dmftaras	['Web Dev', 'Finance', 'Crypto', 'Product Manager', 'Ecommerce', 'SaaS', 'Support']		15	10	1	9
435			@diegomiguel			1	1	0	1
436			@diniska			13	7	2	3
437			@dgwolff	['Web Dev']		29	17	43	36
438			@diegoluisr	['Startup Founder']		63	21	7	13
439			@denizpolatde			3	3	5	19
440	"[""Bachelor's Degree""]"	['Staying up late', 'Cats', 'Dogs', 'Cocktails', 'Beer', 'Drinking alcohol', '420', 'Eating meat', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Outdoors', 'Surfing', 'Swimming', 'Motorcycling', 'Skateboarding', 'Gaming', 'Documentaries', 'Movies', 'Photography', 'Cooking']	@danny	['Web Dev', 'Creative', 'Ecommerce']	Bachelor's Degree	31	14	10	7
441			@cybergorille	['Startup Founder']		10	5	2	2
442			@craig8803			0	0	3	1
443		['Photography']	@colinsurprenant			0	0	6	3
444			@codevipe	['Data']		0	0	1	3
445		['Cats', 'Dogs', 'Coffee', 'Beer', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Fitness', 'Fight sports', 'Extrovert', 'Documentaries', 'Electronic music', 'Writing', 'Photography', 'Film making', 'Partying']	@chrisrdodd	['Web Dev', 'Creative', 'Blogging']		39	22	94	46
446			@callum			0	0	1	4
447			@bsingbeil			0	0	0	1
448			@bradzickafoose			81	31	6	5
449			@val			35	13	14	18
450			@becomenomad	['Startup Founder']		1	1	31	16
451			@bastienpetit			22	16	22	11
452			@bartligthart			4	3	15	25
453			@augustevrymonth	['Startup Founder']		3	2	28	21
454			@askeertmann	['Web Dev', 'UI/UX Design']		58	18	12	15
455			@matt_anis	['Startup Founder']		1	1	1	3
456			@andreaskeller	['Web Dev']		0	0	8	42
457			@amy	['Blogging']		10	5	135	75
458			@amareshray			1	1	8	10
459			@allancaeg	['UI/UX Design']		0	0	7	11
460			@alexandros	['Web Dev', 'Data']		1	1	1	2
461		['Diving']	@alexbrasetvik	['Startup Founder']		7	5	3	4
462		['Surfing']	@alchorro	['Startup Founder']		11	9	14	16
463	"[""Bachelor's Degree""]"		@adrianchinghc	['Web Dev', 'Software Dev', 'Mobile Dev', 'Startup Founder', 'SaaS']	Bachelor's Degree	0	0	3	19
464			@adz			11	4	33	19
465			@adrianavecc	['UI/UX Design', 'VR Dev', 'Creative']		29	15	73	45
466			@mogosselin	['Web Dev']		5	4	16	12
467			@indi			29	17	25	26
468			@jayzus			46	21	126	23
469			@jodroc			6	3	8	20
470			@parasight	['Web Dev']		23	16	81	30
471			@calum	['Startup Founder', 'Community']		23	12	10	13
472			@nickdanforth			49	22	49	22
473	"['High School', ""Bachelor's Degree""]"	['Staying up late', 'Dogs', 'Tea', 'Coffee', 'Cocktails', 'Wine', 'Beer', 'Drinking alcohol', 'Paleo', 'Eating meat', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Outdoors', 'Spiritual', 'Diving', 'Race sports', 'Reading', 'Gaming', 'Extrovert', 'Introvert', 'Third Culture Kid', 'Beach', 'Shopping', 'History', 'Documentaries', 'Philosophy', 'Movies', 'Acoustic music', 'Electronic music', 'Writing', 'Photography', 'Cooking', 'Backpacking', 'Vanlife', 'Partying', 'Urbex', 'Feminism', 'Progressive politics', 'Centrist politics']	@paulrose	['Web Dev', 'Software Dev', 'Mobile Dev', 'UI/UX Design', 'Startup Founder', 'Data', 'Community', 'Marketing', 'Ecommerce', 'SaaS', 'Support']	High School, Bachelor's Degree	24	10	4	7
